user_id,signup_date,acquisition_channel,region,email_verified,onboarding_completed,feature_used,subscribed
1,2023-04-13,Paid,Asia,True,True,True,True
2,2023-06-29,Social,Europe,True,True,True,True
3,2023-04-03,Organic,Europe,True,False,False,False
4,2023-01-15,Referral,North America,False,False,False,False
5,2023-04-17,Social,Europe,True,True,True,False
6,2023-03-13,Paid,Other,False,False,False,False
7,2023-01-21,Social,North America,True,True,False,False
8,2023-04-13,Paid,Asia,True,True,False,False
9,2023-05-02,Organic,North America,True,True,False,False
10,2023-03-16,Organic,Europe,True,False,False,False
11,2023-03-29,Referral,North America,True,False,False,False
12,2023-04-27,Organic,North America,True,False,False,False
13,2023-04-10,Paid,North America,True,False,False,False
14,2023-04-14,Organic,Europe,True,True,True,True
15,2023-06-01,Social,Other,True,True,False,False
16,2023-05-11,Organic,Europe,True,True,True,True
17,2023-05-30,Paid,Europe,True,True,True,False
18,2023-02-22,Paid,Europe,True,True,False,False
19,2023-01-02,Referral,Asia,True,True,True,True
20,2023-03-29,Paid,Europe,True,True,False,False
21,2023-06-07,Social,Europe,True,True,True,False
22,2023-02-07,Paid,Europe,True,True,True,True
23,2023-05-10,Organic,Other,True,True,False,False
24,2023-01-21,Paid,Asia,True,False,False,False
25,2023-06-10,Paid,Asia,True,False,False,False
26,2023-02-27,Paid,Europe,False,False,False,False
27,2023-01-22,Referral,Europe,True,True,True,False
28,2023-03-30,Paid,Other,False,False,False,False
29,2023-02-18,Organic,Europe,True,True,False,False
30,2023-02-28,Organic,Europe,True,True,True,False
31,2023-06-19,Social,Europe,True,True,False,False
32,2023-01-15,Referral,Europe,True,False,False,False
33,2023-06-24,Organic,Other,True,False,False,False
34,2023-02-20,Organic,Europe,True,True,False,False
35,2023-04-18,Organic,Other,True,False,False,False
36,2023-02-24,Referral,North America,True,False,False,False
37,2023-03-05,Organic,Europe,False,False,False,False
38,2023-05-11,Paid,Asia,True,True,False,False
39,2023-02-20,Organic,North America,True,True,True,True
40,2023-05-15,Referral,North America,False,False,False,False
41,2023-01-21,Organic,Europe,True,True,True,True
42,2023-03-14,Organic,Asia,True,False,False,False
43,2023-06-16,Paid,Asia,True,True,True,False
44,2023-01-18,Paid,Asia,True,True,False,False
45,2023-05-12,Referral,Asia,False,False,False,False
46,2023-03-30,Organic,Europe,False,False,False,False
47,2023-03-01,Paid,North America,True,True,False,False
48,2023-01-14,Organic,Europe,True,True,True,True
49,2023-01-09,Paid,North America,True,True,False,False
50,2023-03-31,Organic,Europe,True,True,False,False
51,2023-02-22,Organic,Europe,True,True,True,True
52,2023-05-10,Organic,Asia,False,False,False,False
53,2023-03-25,Paid,Other,False,False,False,False
54,2023-04-02,Paid,Europe,True,True,False,False
55,2023-04-21,Paid,Asia,True,False,False,False
56,2023-06-21,Paid,Europe,True,True,True,True
57,2023-01-08,Organic,North America,True,True,False,False
58,2023-06-24,Organic,North America,True,True,True,False
59,2023-02-04,Organic,Asia,True,False,False,False
60,2023-03-22,Organic,Europe,True,True,True,False
61,2023-06-13,Organic,Europe,True,False,False,False
62,2023-02-19,Organic,Europe,True,True,False,False
63,2023-04-14,Referral,Asia,True,True,False,False
64,2023-05-12,Paid,Europe,False,False,False,False
65,2023-01-02,Paid,Europe,False,False,False,False
66,2023-05-14,Referral,Europe,True,True,True,True
67,2023-02-23,Social,North America,True,True,True,True
68,2023-04-16,Paid,Asia,True,False,False,False
69,2023-01-04,Organic,Europe,True,True,True,False
70,2023-02-23,Social,Europe,True,True,True,True
71,2023-05-26,Referral,Europe,False,False,False,False
72,2023-02-13,Referral,Europe,True,True,True,True
73,2023-06-11,Paid,North America,True,True,True,False
74,2023-01-14,Paid,North America,True,False,False,False
75,2023-04-05,Paid,Europe,True,True,False,False
76,2023-02-17,Paid,Asia,False,False,False,False
77,2023-01-15,Organic,North America,True,True,True,True
78,2023-02-09,Referral,Other,True,True,True,True
79,2023-03-23,Social,Europe,True,False,False,False
80,2023-04-21,Paid,North America,True,True,False,False
81,2023-02-22,Organic,Asia,True,True,True,True
82,2023-01-24,Paid,Europe,True,True,False,False
83,2023-06-03,Organic,Asia,True,True,False,False
84,2023-05-04,Social,Asia,True,False,False,False
85,2023-02-10,Paid,North America,True,True,False,False
86,2023-06-06,Organic,Asia,False,False,False,False
87,2023-01-15,Paid,Europe,True,False,False,False
88,2023-02-14,Referral,North America,True,True,True,False
89,2023-03-06,Organic,Europe,False,False,False,False
90,2023-03-30,Organic,Asia,False,False,False,False
91,2023-03-12,Paid,Europe,True,False,False,False
92,2023-01-09,Referral,Europe,True,False,False,False
93,2023-03-29,Organic,North America,True,True,False,False
94,2023-05-09,Referral,North America,True,False,False,False
95,2023-05-16,Paid,North America,True,True,True,False
96,2023-03-04,Organic,North America,True,True,True,True
97,2023-05-19,Organic,Europe,True,True,True,False
98,2023-03-22,Organic,Europe,True,True,False,False
99,2023-05-16,Social,Europe,True,False,False,False
100,2023-06-12,Social,Europe,True,False,False,False
101,2023-06-12,Organic,North America,True,True,False,False
102,2023-02-02,Paid,Asia,True,False,False,False
103,2023-05-03,Social,Europe,True,True,True,True
104,2023-01-05,Paid,Europe,True,True,True,True
105,2023-02-10,Organic,North America,False,False,False,False
106,2023-01-28,Organic,Other,True,True,True,True
107,2023-05-15,Referral,Europe,True,False,False,False
108,2023-03-13,Paid,Asia,True,True,True,True
109,2023-01-12,Paid,North America,True,True,False,False
110,2023-06-11,Paid,North America,True,True,False,False
111,2023-02-02,Organic,Europe,True,True,False,False
112,2023-02-17,Organic,Europe,False,False,False,False
113,2023-05-31,Social,Europe,True,True,False,False
114,2023-03-03,Referral,Europe,True,False,False,False
115,2023-02-06,Paid,Europe,False,False,False,False
116,2023-04-09,Organic,North America,True,True,False,False
117,2023-06-21,Paid,North America,True,False,False,False
118,2023-04-14,Paid,North America,True,True,True,False
